created_at,tweet_id,retweet_count,favorite_count
Fri Mar 24 02:22:04 +0000 2017,845098359547420673,8640,0
Thu Mar 23 18:29:57 +0000 2017,844979544864018432,2909,14738
Thu Mar 23 18:07:10 +0000 2017,844973813909606400,3617,16361
Thu Mar 23 00:18:10 +0000 2017,844704788403113984,11633,42022
Wed Mar 22 16:04:20 +0000 2017,844580511645339650,3533,17871
Tue Mar 21 16:26:50 +0000 2017,844223788422217728,2450,14753
Tue Mar 21 00:22:10 +0000 2017,843981021012017153,3285,16327
Mon Mar 20 16:08:44 +0000 2017,843856843873095681,5220,23211
Sun Mar 19 23:25:35 +0000 2017,843604394117681152,3081,18310
Sat Mar 18 22:59:54 +0000 2017,843235543001513987,6852,23315
Sat Mar 18 00:15:37 +0000 2017,842892208864923648,56625,0
Fri Mar 17 21:13:10 +0000 2017,842846295480000512,4023,16440
Fri Mar 17 15:51:22 +0000 2017,842765311967449089,1439,7321
Fri Mar 17 00:38:32 +0000 2017,842535590457499648,3937,19637
Thu Mar 16 00:00:07 +0000 2017,842163532590374912,6568,26569
Wed Mar 15 20:48:07 +0000 2017,842115215311396866,3386,15204
Wed Mar 15 02:10:39 +0000 2017,841833993020538882,17504,0
Tue Mar 14 16:01:03 +0000 2017,841680585030541313,8748,27854
Tue Mar 14 00:04:30 +0000 2017,841439858740625411,4168,13755
Mon Mar 13 16:08:50 +0000 2017,841320156043304961,6080,21402
Mon Mar 13 15:47:01 +0000 2017,841314665196081154,5312,17305
Mon Mar 13 00:02:39 +0000 2017,841077006473256960,5991,24926
Sun Mar 12 03:07:56 +0000 2017,840761248237133825,1972,0
Sun Mar 12 00:59:17 +0000 2017,840728873075638272,18285,0
Sat Mar 11 22:59:09 +0000 2017,840698636975636481,3,197
Sat Mar 11 22:51:24 +0000 2017,840696689258311684,1116,13377
Sat Mar 11 18:35:42 +0000 2017,840632337062862849,1972,9761
Sat Mar 11 01:15:58 +0000 2017,840370681858686976,5146,17918
Fri Mar 10 18:27:58 +0000 2017,840268004936019968,6497,20950
Fri Mar 10 00:04:21 +0000 2017,839990271299457024,2597,14640
Wed Mar 08 18:52:12 +0000 2017,839549326359670784,8805,29957
Wed Mar 08 01:44:07 +0000 2017,839290600511926273,158,0
Tue Mar 07 22:22:32 +0000 2017,839239871831150596,7422,29684
Tue Mar 07 03:22:35 +0000 2017,838952994649550848,4505,21289
Tue Mar 07 01:17:48 +0000 2017,838921590096166913,2357,12183
Tue Mar 07 00:57:32 +0000 2017,838916489579200512,38,0
Mon Mar 06 19:21:35 +0000 2017,838831947270979586,12643,0
Mon Mar 06 01:26:54 +0000 2017,838561493054533637,1504,11892
Sun Mar 05 19:48:43 +0000 2017,838476387338051585,5484,24664
Sun Mar 05 01:36:26 +0000 2017,838201503651401729,11525,0
Sat Mar 04 22:12:52 +0000 2017,838150277551247360,370,1824
Sat Mar 04 17:56:49 +0000 2017,838085839343206401,0,150
Sat Mar 04 17:49:08 +0000 2017,838083903487373313,3582,19183
Sat Mar 04 00:21:08 +0000 2017,837820167694528512,8952,37277
Fri Mar 03 01:58:22 +0000 2017,837482249356513284,495,4204
Fri Mar 03 01:14:41 +0000 2017,837471256429613056,2631,13967
Thu Mar 02 18:17:34 +0000 2017,837366284874571778,6005,23074
Thu Mar 02 01:20:01 +0000 2017,837110210464448512,2731,17480
Wed Mar 01 18:52:06 +0000 2017,837012587749474308,88,0
Wed Mar 01 17:22:13 +0000 2017,836989968035819520,2610,13879
Wed Mar 01 01:42:39 +0000 2017,836753516572119041,5237,21029
Tue Feb 28 20:41:37 +0000 2017,836677758902222849,2522,13782
Tue Feb 28 18:46:45 +0000 2017,836648853927522308,626,0
Tue Feb 28 02:09:08 +0000 2017,836397794269200385,31314,0
Tue Feb 28 01:00:19 +0000 2017,836380477523124226,3337,16037
Mon Feb 27 17:01:56 +0000 2017,836260088725786625,4850,23177
Sun Feb 26 23:52:43 +0000 2017,836001077879255040,4935,20924
Sun Feb 26 02:57:52 +0000 2017,835685285446955009,9327,0
Sat Feb 25 19:37:50 +0000 2017,835574547218894849,4121,19447
Sat Feb 25 17:06:32 +0000 2017,835536468978302976,1939,0
Sat Feb 25 02:03:02 +0000 2017,835309094223372289,24013,0
Sat Feb 25 01:18:40 +0000 2017,835297930240217089,3381,17847
Fri Feb 24 23:04:14 +0000 2017,835264098648616962,1939,8503
Fri Feb 24 21:54:03 +0000 2017,835246439529840640,83,2259
Fri Feb 24 17:01:22 +0000 2017,835172783151792128,6516,28552
Fri Feb 24 15:40:31 +0000 2017,835152434251116546,3443,24574
Fri Feb 24 01:03:08 +0000 2017,834931633769889797,1878,11838
Thu Feb 23 15:25:23 +0000 2017,834786237630337024,6159,22943
Thu Feb 23 01:22:14 +0000 2017,834574053763584002,2882,14993
Wed Feb 22 18:59:48 +0000 2017,834477809192075265,12224,0
Wed Feb 22 17:41:18 +0000 2017,834458053273591808,1899,10512
Wed Feb 22 01:14:30 +0000 2017,834209720923721728,5476,22594
Tue Feb 21 22:26:07 +0000 2017,834167344700198914,4130,17194
Tue Feb 21 17:18:39 +0000 2017,834089966724603904,2427,10971
Tue Feb 21 17:04:24 +0000 2017,834086379323871233,2512,14296
Tue Feb 21 02:17:06 +0000 2017,833863086058651648,2729,14661
Mon Feb 20 23:50:09 +0000 2017,833826103416520705,3904,16728
Mon Feb 20 17:37:34 +0000 2017,833732339549220864,251,0
Mon Feb 20 17:00:04 +0000 2017,833722901757046785,3636,22585
Mon Feb 20 00:53:27 +0000 2017,833479644947025920,2357,16258
Sun Feb 19 01:23:00 +0000 2017,833124694597443584,5513,22133
Sat Feb 18 17:00:10 +0000 2017,832998151111966721,2522,14549
Sat Feb 18 01:50:19 +0000 2017,832769181346996225,43,0
Sat Feb 18 01:03:09 +0000 2017,832757312314028032,4127,18423
Fri Feb 17 20:05:43 +0000 2017,832682457690300417,3368,13017
Fri Feb 17 17:38:57 +0000 2017,832645525019123713,594,3195
Fri Feb 17 17:01:29 +0000 2017,832636094638288896,3220,17379
Fri Feb 17 01:13:34 +0000 2017,832397543355072512,2548,13126
Thu Feb 16 23:23:38 +0000 2017,832369877331693569,3652,18792
Thu Feb 16 17:00:25 +0000 2017,832273440279240704,2673,12385
Thu Feb 16 13:11:49 +0000 2017,832215909146226688,7069,0
Thu Feb 16 13:11:05 +0000 2017,832215726631055365,10723,0
Thu Feb 16 04:45:50 +0000 2017,832088576586297345,3,72
Thu Feb 16 01:34:34 +0000 2017,832040443403784192,11131,0
Thu Feb 16 01:04:13 +0000 2017,832032802820481025,4746,13887
Wed Feb 15 18:54:34 +0000 2017,831939777352105988,7031,26404
Wed Feb 15 18:03:45 +0000 2017,831926988323639298,39,369
Wed Feb 15 17:02:36 +0000 2017,831911600680497154,7458,30380
Wed Feb 15 01:04:21 +0000 2017,831670449226514432,2059,11469
Tue Feb 14 23:43:18 +0000 2017,831650051525054464,2243,7908
Tue Feb 14 17:17:22 +0000 2017,831552930092285952,2632,9872
Tue Feb 14 02:02:51 +0000 2017,831322785565769729,1744,10042
Tue Feb 14 01:35:49 +0000 2017,831315979191906304,1264,7117
Tue Feb 14 01:09:44 +0000 2017,831309418084069378,2786,12819
Mon Feb 13 22:03:49 +0000 2017,831262627380748289,2350,13066
Mon Feb 13 01:46:03 +0000 2017,830956169170665475,1735,8735
Sun Feb 12 01:04:29 +0000 2017,830583320585068544,19297,73397
Fri Feb 10 21:54:58 +0000 2017,830173239259324417,6554,0
Fri Feb 10 16:53:37 +0000 2017,830097400375152640,3455,10804
Fri Feb 10 02:25:42 +0000 2017,829878982036299777,5757,0
Fri Feb 10 01:15:49 +0000 2017,829861396166877184,2243,13441
Thu Feb 09 01:27:41 +0000 2017,829501995190984704,12224,34913
Wed Feb 08 22:00:52 +0000 2017,829449946868879360,2329,11519
Wed Feb 08 17:00:26 +0000 2017,829374341691346946,10706,38074
Wed Feb 08 01:35:19 +0000 2017,829141528400556032,8530,26952
Tue Feb 07 17:00:28 +0000 2017,829011960981237760,18627,58302
Tue Feb 07 03:04:22 +0000 2017,828801551087042563,3901,0
Tue Feb 07 01:00:22 +0000 2017,828770345708580865,6746,28085
